id,longitude,latitude
658,-73.1168435,7.0996646
659,-73.1153316,7.1219638
660,-73.106301513,7.093651743
661,-73.1279642,7.1373086
662,-73.1302782,7.122961
663,-73.1256028,7.1346028
664,-73.1120948,7.1076836
665,-73.1351076,7.0959212
666,-73.1407315,7.1537074
667,-73.1265839,7.1393037
668,-73.1245331,7.0829393
669,-73.1276102,7.1237906
670,-73.1077786,7.1114327
671,-73.11941395,7.115275
672,-73.11636275,7.13446575
673,-73.1088104,7.1203833
674,-73.1275044,7.1205896
675,-73.122999591,7.138932985
676,-73.1303365,7.1029433
677,-73.1121905,7.1173654
678,-73.1093743,7.1203106
679,-73.124763561,7.123535426
680,-73.11559875,7.11090535
681,-73.1195955,7.1194118
682,-73.14167155,7.15300485
683,-73.1236552,7.1288535
684,-73.130313017,7.136431885
685,-73.1114579,7.1266389
686,-73.1133672,7.0921424
687,-73.126055,7.1438672
688,-73.1107121,7.1267619
689,-73.1214286,7.1239999
690,-73.1285819,7.0973511
691,-73.1104313,7.1167008
692,-73.116476902,7.091937343
693,-73.1284914,7.1270464
694,-73.1053394,7.1174238
695,-73.130019632,7.141180731
696,-73.135735209,7.154199257
697,-73.1101178,7.1244289
698,-73.113353976,7.113533562
699,-73.1235902,7.0925851
700,-73.130510731,7.082289603
701,-73.118597,7.1235777
702,-73.1293805,7.1158658
703,-73.1317664,7.0803302
704,-73.1109874,7.1257442
705,-73.117522711,7.104277902
706,-73.1176444,7.0975853
707,-73.1449966,7.0896219
708,-73.1293942,7.0991045
709,-73.1222472,7.1350009
710,-73.1146616,7.1306381
711,-73.1252972,7.1329093
712,-73.1247637,7.1345638
713,-73.11161045,7.09360295
714,-73.107744469,7.129308306
715,-73.112717838,7.107363569
716,-73.106996,7.1372431
717,-73.121656018,7.136421636
718,-73.1154561,7.1128877
719,-73.1120843,7.1122331
720,-73.1266844,7.1153702
721,-73.1286255,7.1406669
722,-73.1093144,7.1270533
723,-73.1155711,7.1152051
724,-73.109940836,7.125173793
725,-73.1191177,7.1129462
726,-73.1202118,7.0876393
727,-73.1220992,7.1236805
728,-73.110988679,7.109497166
729,-73.1201709,7.0835676
730,-73.1089314,7.1112432
731,-73.128872011,7.137572642
732,-73.1079063,7.1121209
733,-73.095033715,7.098922494
734,-73.1106446,7.1236049
735,-73.1205303,7.1217234
736,-73.1077065,7.115586
737,-73.1091374,7.122351
738,-73.1146831,7.1243181
739,-73.1291903,7.1150104
740,-73.1215856,7.1223859
741,-73.1226524,7.1102563
742,-73.113387,7.1109933
743,-73.130354,7.1190281
744,-73.115340101,7.134288186
745,-73.12080105,7.1329085
746,-73.1258687,7.1266422
747,-73.1100043,7.123709
748,-73.1087078,7.1134609
749,-73.124577238,7.10270921
750,-73.1281395,7.1143316
751,-73.132796022,7.114581204
752,-73.116767,7.1263529
753,-73.1246792,7.1339236
754,-73.120282829,7.13606058
755,-73.1174027,7.1351099
756,-73.1131887,7.1164587
757,-73.1364028,7.0956269
758,-73.1318852,7.157948
759,-73.13396555,7.08864935
760,-73.1337887,7.1212854
761,-73.1118555,7.1140615
762,-73.133347347,7.125383754
763,-73.106812,7.1086452
764,-73.137819509,7.095937241
765,-73.1238917,7.1345287
766,-73.1177772,7.1217834
767,-73.1340427,7.122744
768,-73.1337157,7.1549265
769,-73.10489209,7.097995879
770,-73.1277411,7.091332
771,-73.111827162,7.103436235
772,-73.101594936,7.131721066
773,-73.1234818,7.1324092
774,-73.1228712,7.1208693
775,-73.1155214,7.1304483
776,-73.1203529,7.1191363
777,-73.1261663,7.1327413
778,-73.139159293,7.111838975
